Date : 2024-02-29 09:44:11
Directory : /Users/leeklusky/be-for-reel
Total : 199 files,  9827 codes, 915 comments, 1432 blanks, all 12174 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| client/src/components/Pagination                                                         |          3 |        137 |          0 |         18 |        155 |
| client/src/components/PollList                                                           |          3 |        126 |          8 |         18 |        152 |
| client/src/components/PollListing                                                        |          3 |        178 |         20 |         20 |        218 |
| client/src/components/Question                                                           |          3 |         36 |          5 |          9 |         50 |
| client/src/components/ResetPwdModal                                                      |          3 |         78 |          7 |         12 |         97 |
| client/src/components/SearchForm                                                         |          3 |         81 |          7 |         14 |        102 |
| client/src/components/SearchResult                                                       |          3 |         59 |          7 |         11 |         77 |
| client/src/components/SearchingAlert                                                     |          3 |         39 |          1 |          8 |         48 |
| client/src/components/Select                                                             |          3 |         60 |          9 |         13 |         82 |
| client/src/components/SelectOption                                                       |          3 |          9 |          5 |          7 |         21 |
| client/src/components/Slider                                                             |          3 |        102 |         20 |         17 |        139 |
| client/src/components/Tabs                                                               |          3 |         90 |          6 |         17 |        113 |
| client/src/components/TextAreaField                                                      |          3 |         77 |         20 |         12 |        109 |
| client/src/components/TitleSearch                                                        |          3 |        146 |         24 |          7 |        177 |
| client/src/components/UserIcon                                                           |          3 |         69 |          0 |         10 |         79 |
| client/src/components/UserListing                                                        |          3 |         30 |         12 |          8 |         50 |
| client/src/components/UserMenu                                                           |          3 |         91 |          8 |         14 |        113 |
| client/src/components/UsernameLink                                                       |          3 |         80 |          8 |         14 |        102 |
| client/src/pageComponents                                                                |         22 |      1,295 |        135 |        173 |      1,603 |
| client/src/pageComponents (Files)                                                        |          1 |          7 |          0 |          1 |          8 |
| client/src/pageComponents/AboutPoll                                                      |          3 |         72 |          9 |         11 |         92 |
| client/src/pageComponents/Footer                                                         |          3 |        117 |          2 |         20 |        139 |
| client/src/pageComponents/Header                                                         |          3 |         64 |         19 |         13 |         96 |
| client/src/pageComponents/LoginForm                                                      |          3 |        194 |         20 |         24 |        238 |
| client/src/pageComponents/MovieSearch                                                    |          3 |        347 |         45 |         35 |        427 |
| client/src/pageComponents/Nav                                                            |          3 |        296 |         15 |         44 |        355 |
| client/src/pageComponents/SignupForm                                                     |          3 |        198 |         25 |         25 |        248 |
| client/src/pages                                                                         |         40 |      2,202 |        107 |        298 |      2,607 |
| client/src/pages (Files)                                                                 |          1 |         13 |          0 |          1 |         14 |
| client/src/pages/About                                                                   |          3 |         35 |          2 |          7 |         44 |
| client/src/pages/Contact                                                                 |          3 |        112 |          1 |         14 |        127 |
| client/src/pages/Create                                                                  |          3 |        515 |         59 |         78 |        652 |
| client/src/pages/Directory                                                               |          3 |        134 |          4 |         21 |        159 |
| client/src/pages/FAQ                                                                     |          3 |        192 |          0 |         20 |        212 |
| client/src/pages/Home                                                                    |          3 |        220 |          2 |         25 |        247 |
| client/src/pages/Login                                                                   |          3 |         90 |          3 |         15 |        108 |
| client/src/pages/Poll                                                                    |          3 |        227 |         14 |         26 |        267 |
| client/src/pages/Profile                                                                 |          3 |        210 |         16 |         31 |        257 |
| client/src/pages/SearchResults                                                           |          3 |        199 |          1 |         22 |        222 |
| client/src/pages/Terms                                                                   |          3 |         39 |          1 |          6 |         46 |
| client/src/pages/TopMovies                                                               |          3 |        131 |          3 |         17 |        151 |
| client/src/pages/UserDir                                                                 |          3 |         85 |          1 |         15 |        101 |
| client/src/recoil                                                                        |          1 |          5 |          0 |          2 |          7 |
| client/src/recoil/atoms                                                                  |          1 |          5 |          0 |          2 |          7 |
| client/src/utils                                                                         |          8 |        845 |         46 |         83 |        974 |
| server                                                                                   |         18 |      1,782 |        121 |        240 |      2,143 |
| server (Files)                                                                           |          2 |         89 |          4 |         12 |        105 |
| server/config                                                                            |          1 |          9 |          7 |          5 |         21 |
| server/controllers                                                                       |          4 |        330 |         15 |         50 |        395 |
| server/controllers (Files)                                                               |          1 |          4 |          0 |          4 |          8 |
| server/controllers/api                                                                   |          3 |        326 |         15 |         46 |        387 |
| server/models                                                                            |          6 |        380 |          6 |         33 |        419 |
| server/schemas                                                                           |          3 |        821 |         75 |        121 |      1,017 |
| server/utils                                                                             |          2 |        153 |         14 |         19 |        186 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                 | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/leeklusky/be-for-reel/README.md                                                   | Markdown           |         48 |          0 |         41 |         89 |
| /Users/leeklusky/be-for-reel/client/README.md                                            | Markdown           |         26 |          0 |         21 |         47 |
| /Users/leeklusky/be-for-reel/client/package.json                                         | JSON               |         62 |          0 |          1 |         63 |
| /Users/leeklusky/be-for-reel/client/public/index.html                                    | HTML               |         20 |         23 |          1 |         44 |
| /Users/leeklusky/be-for-reel/client/public/manifest.json                                 | JSON               |         25 |          0 |          1 |         26 |
| /Users/leeklusky/be-for-reel/client/src/App.css                                          | CSS                |        264 |        130 |         67 |        461 |
| /Users/leeklusky/be-for-reel/client/src/App.test.tsx                                     | TypeScript JSX     |          8 |          0 |          2 |         10 |
| /Users/leeklusky/be-for-reel/client/src/App.tsx                                          | TypeScript JSX     |        115 |          0 |          6 |        121 |
| /Users/leeklusky/be-for-reel/client/src/components/ActionLink/ActionLink.css             | CSS                |          0 |          1 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/ActionLink/ActionLink.tsx             | TypeScript JSX     |         15 |          5 |          5 |         25 |
| /Users/leeklusky/be-for-reel/client/src/components/ActionLink/index.tsx                  | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/AlertModal/AlertModal.css             | CSS                |         13 |          0 |          2 |         15 |
| /Users/leeklusky/be-for-reel/client/src/components/AlertModal/AlertModal.tsx             | TypeScript JSX     |         23 |          5 |          5 |         33 |
| /Users/leeklusky/be-for-reel/client/src/components/AlertModal/index.tsx                  | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/Card/Card.css                         | CSS                |        159 |          5 |         31 |        195 |
| /Users/leeklusky/be-for-reel/client/src/components/Card/Card.tsx                         | TypeScript JSX     |         58 |          9 |          6 |         73 |
| /Users/leeklusky/be-for-reel/client/src/components/Card/index.tsx                        | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/Checkbox/Checkbox.css                 | CSS                |          8 |          0 |          1 |          9 |
| /Users/leeklusky/be-for-reel/client/src/components/Checkbox/Checkbox.tsx                 | TypeScript JSX     |         37 |         10 |          8 |         55 |
| /Users/leeklusky/be-for-reel/client/src/components/Checkbox/index.tsx                    | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/Comment/Comment.css                   | CSS                |         53 |         10 |         14 |         77 |
| /Users/leeklusky/be-for-reel/client/src/components/Comment/Comment.tsx                   | TypeScript JSX     |         55 |         13 |          7 |         75 |
| /Users/leeklusky/be-for-reel/client/src/components/Comment/index.tsx                     | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/CommentList/CommentList.css           | CSS                |          0 |          1 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/CommentList/CommentList.tsx           | TypeScript JSX     |         49 |          8 |          7 |         64 |
| /Users/leeklusky/be-for-reel/client/src/components/CommentList/index.tsx                 | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/DoubleSlider/DoubleSlider.css         | CSS                |        118 |          8 |         23 |        149 |
| /Users/leeklusky/be-for-reel/client/src/components/DoubleSlider/DoubleSlider.tsx         | TypeScript JSX     |        125 |         16 |         14 |        155 |
| /Users/leeklusky/be-for-reel/client/src/components/DoubleSlider/index.tsx                | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/EmailTokenModal/EmailTokenModal.css   | CSS                |          0 |          1 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/EmailTokenModal/EmailTokenModal.tsx   | TypeScript JSX     |         30 |          7 |          9 |         46 |
| /Users/leeklusky/be-for-reel/client/src/components/EmailTokenModal/index.tsx             | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/EmailVerifyModal/EmailVerifyModal.css | CSS                |         23 |          0 |          3 |         26 |
| /Users/leeklusky/be-for-reel/client/src/components/EmailVerifyModal/EmailVerifyModal.tsx | TypeScript JSX     |         20 |          4 |          5 |         29 |
| /Users/leeklusky/be-for-reel/client/src/components/EmailVerifyModal/index.tsx            | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/ForgotPwdModal/ForgotPwdModal.css     | CSS                |         27 |          0 |          5 |         32 |
| /Users/leeklusky/be-for-reel/client/src/components/ForgotPwdModal/ForgotPwdModal.tsx     | TypeScript JSX     |         50 |          7 |          6 |         63 |
| /Users/leeklusky/be-for-reel/client/src/components/ForgotPwdModal/index.tsx              | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/InputText/InputText.css               | CSS                |         13 |          0 |          3 |         16 |
| /Users/leeklusky/be-for-reel/client/src/components/InputText/InputText.tsx               | TypeScript JSX     |         84 |         26 |         13 |        123 |
| /Users/leeklusky/be-for-reel/client/src/components/InputText/index.tsx                   | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/OpenAIRequest/OpenAIRequest.css       | CSS                |          0 |          1 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/OpenAIRequest/OpenAIRequest.tsx       | TypeScript JSX     |        154 |          4 |         20 |        178 |
| /Users/leeklusky/be-for-reel/client/src/components/OpenAIRequest/index.tsx               | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/Option/Option.css                     | CSS                |        165 |         12 |         37 |        214 |
| /Users/leeklusky/be-for-reel/client/src/components/Option/Option.tsx                     | TypeScript JSX     |        219 |         25 |         12 |        256 |
| /Users/leeklusky/be-for-reel/client/src/components/Option/index.tsx                      | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/Pagination/Pagination.css             | CSS                |         63 |          0 |         11 |         74 |
| /Users/leeklusky/be-for-reel/client/src/components/Pagination/Pagination.tsx             | TypeScript JSX     |         73 |          0 |          6 |         79 |
| /Users/leeklusky/be-for-reel/client/src/components/Pagination/index.tsx                  | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/PollList/PollList.css                 | CSS                |         39 |          0 |          8 |         47 |
| /Users/leeklusky/be-for-reel/client/src/components/PollList/PollList.tsx                 | TypeScript JSX     |         86 |          8 |          9 |        103 |
| /Users/leeklusky/be-for-reel/client/src/components/PollList/index.tsx                    | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/PollListing/PollListing.css           | CSS                |         44 |          0 |         10 |         54 |
| /Users/leeklusky/be-for-reel/client/src/components/PollListing/PollListing.tsx           | TypeScript JSX     |        133 |         20 |          9 |        162 |
| /Users/leeklusky/be-for-reel/client/src/components/PollListing/index.tsx                 | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/Question/Question.css                 | CSS                |         11 |          0 |          3 |         14 |
| /Users/leeklusky/be-for-reel/client/src/components/Question/Question.tsx                 | TypeScript JSX     |         24 |          5 |          5 |         34 |
| /Users/leeklusky/be-for-reel/client/src/components/Question/index.tsx                    | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/ResetPwdModal/ResetPwdModal.css       | CSS                |         27 |          0 |          5 |         32 |
| /Users/leeklusky/be-for-reel/client/src/components/ResetPwdModal/ResetPwdModal.tsx       | TypeScript JSX     |         50 |          7 |          6 |         63 |
| /Users/leeklusky/be-for-reel/client/src/components/ResetPwdModal/index.tsx               | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/SearchForm/SearchForm.css             | CSS                |         25 |          0 |          5 |         30 |
| /Users/leeklusky/be-for-reel/client/src/components/SearchForm/SearchForm.tsx             | TypeScript JSX     |         55 |          7 |          8 |         70 |
| /Users/leeklusky/be-for-reel/client/src/components/SearchForm/index.tsx                  | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/SearchResult/SearchResult.css         | CSS                |         23 |          0 |          5 |         28 |
| /Users/leeklusky/be-for-reel/client/src/components/SearchResult/SearchResult.tsx         | TypeScript JSX     |         35 |          7 |          5 |         47 |
| /Users/leeklusky/be-for-reel/client/src/components/SearchResult/index.tsx                | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/SearchingAlert/SearchingAlert.css     | CSS                |         21 |          1 |          4 |         26 |
| /Users/leeklusky/be-for-reel/client/src/components/SearchingAlert/SearchingAlert.tsx     | TypeScript JSX     |         17 |          0 |          3 |         20 |
| /Users/leeklusky/be-for-reel/client/src/components/SearchingAlert/index.tsx              | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/Select/Select.css                     | CSS                |         16 |          0 |          3 |         19 |
| /Users/leeklusky/be-for-reel/client/src/components/Select/Select.tsx                     | TypeScript JSX     |         43 |          9 |          9 |         61 |
| /Users/leeklusky/be-for-reel/client/src/components/Select/index.tsx                      | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/SelectOption/SelectOption.css         | CSS                |          0 |          1 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/SelectOption/SelectOption.tsx         | TypeScript JSX     |          8 |          4 |          5 |         17 |
| /Users/leeklusky/be-for-reel/client/src/components/SelectOption/index.tsx                | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/Slider/Slider.css                     | CSS                |         42 |          2 |          8 |         52 |
| /Users/leeklusky/be-for-reel/client/src/components/Slider/Slider.tsx                     | TypeScript JSX     |         59 |         18 |          8 |         85 |
| /Users/leeklusky/be-for-reel/client/src/components/Slider/index.tsx                      | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/Tabs/Tabs.css                         | CSS                |         54 |          1 |         11 |         66 |
| /Users/leeklusky/be-for-reel/client/src/components/Tabs/Tabs.tsx                         | TypeScript JSX     |         35 |          5 |          5 |         45 |
| /Users/leeklusky/be-for-reel/client/src/components/Tabs/index.tsx                        | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/TextAreaField/TextAreaField.css       | CSS                |          6 |          0 |          1 |          7 |
| /Users/leeklusky/be-for-reel/client/src/components/TextAreaField/TextAreaField.tsx       | TypeScript JSX     |         70 |         20 |         10 |        100 |
| /Users/leeklusky/be-for-reel/client/src/components/TextAreaField/index.tsx               | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/TitleSearch/TitleSearch.css           | CSS                |          0 |          1 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/TitleSearch/TitleSearch.tsx           | TypeScript JSX     |        145 |         23 |          5 |        173 |
| /Users/leeklusky/be-for-reel/client/src/components/TitleSearch/index.tsx                 | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/UserIcon/UserIcon.css                 | CSS                |         38 |          0 |          6 |         44 |
| /Users/leeklusky/be-for-reel/client/src/components/UserIcon/UserIcon.tsx                 | TypeScript JSX     |         30 |          0 |          3 |         33 |
| /Users/leeklusky/be-for-reel/client/src/components/UserIcon/index.tsx                    | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/UserListing/UserListing.css           | CSS                |          0 |          1 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/UserListing/UserListing.tsx           | TypeScript JSX     |         29 |         11 |          6 |         46 |
| /Users/leeklusky/be-for-reel/client/src/components/UserListing/index.tsx                 | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/UserMenu/UserMenu.css                 | CSS                |         35 |          1 |          7 |         43 |
| /Users/leeklusky/be-for-reel/client/src/components/UserMenu/UserMenu.tsx                 | TypeScript JSX     |         55 |          7 |          6 |         68 |
| /Users/leeklusky/be-for-reel/client/src/components/UserMenu/index.tsx                    | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/UsernameLink/UsernameLink.css         | CSS                |         26 |          0 |          7 |         33 |
| /Users/leeklusky/be-for-reel/client/src/components/UsernameLink/UsernameLink.tsx         | TypeScript JSX     |         53 |          8 |          6 |         67 |
| /Users/leeklusky/be-for-reel/client/src/components/UsernameLink/index.tsx                | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/components/index.tsx                             | TypeScript JSX     |         31 |          0 |          1 |         32 |
| /Users/leeklusky/be-for-reel/client/src/index.css                                        | CSS                |         12 |          0 |          2 |         14 |
| /Users/leeklusky/be-for-reel/client/src/index.tsx                                        | TypeScript JSX     |         20 |          3 |          4 |         27 |
| /Users/leeklusky/be-for-reel/client/src/logo.svg                                         | XML                |          1 |          0 |          0 |          1 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/AboutPoll.css           | CSS                |          5 |          0 |          1 |          6 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/AboutPoll.tsx           | TypeScript JSX     |         66 |          9 |          9 |         84 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/index.tsx               | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/Footer/Footer.css                 | CSS                |         75 |          0 |         15 |         90 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/Footer/Footer.tsx                 | TypeScript JSX     |         41 |          2 |          4 |         47 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/Footer/index.tsx                  | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/Header/Header.css                 | CSS                |         37 |          2 |          8 |         47 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/Header/Header.tsx                 | TypeScript JSX     |         26 |         17 |          4 |         47 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/Header/index.tsx                  | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/LoginForm.css           | CSS                |         13 |          0 |          4 |         17 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/LoginForm.tsx           | TypeScript JSX     |        180 |         20 |         19 |        219 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/index.tsx               | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/MovieSearch.css       | CSS                |         50 |          3 |         15 |         68 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/MovieSearch.tsx       | TypeScript JSX     |        296 |         42 |         19 |        357 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/index.tsx             | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/Nav.css                       | CSS                |        113 |          7 |         26 |        146 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/Nav.tsx                       | TypeScript JSX     |        182 |          8 |         17 |        207 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/index.tsx                     | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/SignupForm.css         | CSS                |          4 |          0 |          1 |          5 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/SignupForm.tsx         | TypeScript JSX     |        193 |         25 |         23 |        241 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/index.tsx              | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pageComponents/index.tsx                         | TypeScript JSX     |          7 |          0 |          1 |          8 |
| /Users/leeklusky/be-for-reel/client/src/pages/About/About.css                            | CSS                |          8 |          1 |          3 |         12 |
| /Users/leeklusky/be-for-reel/client/src/pages/About/About.tsx                            | TypeScript JSX     |         26 |          1 |          3 |         30 |
| /Users/leeklusky/be-for-reel/client/src/pages/About/index.tsx                            | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pages/Contact/Contact.css                        | CSS                |         20 |          1 |          6 |         27 |
| /Users/leeklusky/be-for-reel/client/src/pages/Contact/Contact.tsx                        | TypeScript JSX     |         91 |          0 |          7 |         98 |
| /Users/leeklusky/be-for-reel/client/src/pages/Contact/index.tsx                          | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pages/Create/Create.css                          | CSS                |         85 |          7 |         23 |        115 |
| /Users/leeklusky/be-for-reel/client/src/pages/Create/Create.tsx                          | TypeScript JSX     |        429 |         52 |         54 |        535 |
| /Users/leeklusky/be-for-reel/client/src/pages/Create/index.tsx                           | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pages/Directory/Directory.css                    | CSS                |         54 |          0 |         10 |         64 |
| /Users/leeklusky/be-for-reel/client/src/pages/Directory/Directory.tsx                    | TypeScript JSX     |         79 |          4 |         10 |         93 |
| /Users/leeklusky/be-for-reel/client/src/pages/Directory/index.tsx                        | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pages/FAQ/FAQ.css                                | CSS                |         33 |          0 |          8 |         41 |
| /Users/leeklusky/be-for-reel/client/src/pages/FAQ/FAQ.tsx                                | TypeScript JSX     |        158 |          0 |         11 |        169 |
| /Users/leeklusky/be-for-reel/client/src/pages/FAQ/index.tsx                              | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pages/Home/Home.css                              | CSS                |         88 |          1 |         18 |        107 |
| /Users/leeklusky/be-for-reel/client/src/pages/Home/Home.tsx                              | TypeScript JSX     |        131 |          1 |          6 |        138 |
| /Users/leeklusky/be-for-reel/client/src/pages/Home/index.tsx                             | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pages/Login/Login.css                            | CSS                |         22 |          0 |          5 |         27 |
| /Users/leeklusky/be-for-reel/client/src/pages/Login/Login.tsx                            | TypeScript JSX     |         67 |          3 |          9 |         79 |
| /Users/leeklusky/be-for-reel/client/src/pages/Login/index.tsx                            | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pages/Poll/Poll.css                              | CSS                |         46 |          0 |         10 |         56 |
| /Users/leeklusky/be-for-reel/client/src/pages/Poll/Poll.tsx                              | TypeScript JSX     |        180 |         14 |         15 |        209 |
| /Users/leeklusky/be-for-reel/client/src/pages/Poll/index.tsx                             | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pages/Profile/Profile.css                        | CSS                |         71 |          9 |         17 |         97 |
| /Users/leeklusky/be-for-reel/client/src/pages/Profile/Profile.tsx                        | TypeScript JSX     |        138 |          7 |         13 |        158 |
| /Users/leeklusky/be-for-reel/client/src/pages/Profile/index.tsx                          | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pages/SearchResults/SearchResults.css            | CSS                |         36 |          0 |          8 |         44 |
| /Users/leeklusky/be-for-reel/client/src/pages/SearchResults/SearchResults.tsx            | TypeScript JSX     |        162 |          1 |         13 |        176 |
| /Users/leeklusky/be-for-reel/client/src/pages/SearchResults/index.tsx                    | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pages/Terms/Terms.css                            | CSS                |          8 |          1 |          3 |         12 |
| /Users/leeklusky/be-for-reel/client/src/pages/Terms/Terms.tsx                            | TypeScript JSX     |         30 |          0 |          2 |         32 |
| /Users/leeklusky/be-for-reel/client/src/pages/Terms/index.tsx                            | TypeScript JSX     |          1 |          0 |          1 |          2 |
| /Users/leeklusky/be-for-reel/client/src/pages/TopMovies/TopMovies.css                    | CSS                |         45 |          0 |         10 |         55 |
| /Users/leeklusky/be-for-reel/client/src/pages/TopMovies/TopMovies.tsx                    | TypeScript JSX     |         85 |          3 |          6 |         94 |
