Date : 2024-02-29 09:44:11
Directory : /Users/leeklusky/be-for-reel
Total : 199 files,  9827 codes, 915 comments, 1432 blanks, all 12174 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        117 |      5,618 |        557 |        631 |      6,806 |
| CSS                |         53 |      2,178 |        209 |        489 |      2,876 |
| JavaScript         |         17 |      1,747 |        121 |        239 |      2,107 |
| JSON               |          4 |        149 |          0 |          4 |        153 |
| Markdown           |          2 |         74 |          0 |         62 |        136 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| HTML               |          1 |         20 |         23 |          1 |         44 |
| TypeScript         |          3 |         14 |          5 |          5 |         24 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |        199 |      9,827 |        915 |      1,432 |     12,174 |
| . (Files)                                                                                |          2 |         75 |          0 |         42 |        117 |
| client                                                                                   |        179 |      7,970 |        794 |      1,150 |      9,914 |
| client (Files)                                                                           |          3 |        114 |          0 |         23 |        137 |
| client/public                                                                            |          2 |         45 |         23 |          2 |         70 |
| client/src                                                                               |        174 |      7,811 |        771 |      1,125 |      9,707 |
| client/src (Files)                                                                       |          9 |        434 |        138 |         86 |        658 |
| client/src/components                                                                    |         94 |      3,030 |        345 |        483 |      3,858 |
| client/src/components (Files)                                                            |          1 |         31 |          0 |          1 |         32 |
| client/src/components/ActionLink                                                         |          3 |         16 |          6 |          7 |         29 |
| client/src/components/AlertModal                                                         |          3 |         37 |          5 |          8 |         50 |
| client/src/components/Card                                                               |          3 |        218 |         14 |         38 |        270 |
| client/src/components/Checkbox                                                           |          3 |         46 |         10 |         10 |         66 |
| client/src/components/Comment                                                            |          3 |        109 |         23 |         22 |        154 |
| client/src/components/CommentList                                                        |          3 |         50 |          9 |          9 |         68 |
| client/src/components/DoubleSlider                                                       |          3 |        244 |         24 |         38 |        306 |
| client/src/components/EmailTokenModal                                                    |          3 |         31 |          8 |         11 |         50 |
| client/src/components/EmailVerifyModal                                                   |          3 |         44 |          4 |          9 |         57 |
| client/src/components/ForgotPwdModal                                                     |          3 |         78 |          7 |         12 |         97 |
| client/src/components/InputText                                                          |          3 |         98 |         26 |         17 |        141 |
| client/src/components/OpenAIRequest                                                      |          3 |        155 |          5 |         22 |        182 |
| client/src/components/Option                                                             |          3 |        385 |         37 |         50 |        472 |
